frame,numero_pers,joint,x,y,tracking,est_joueur
14,0,1,1363.18,159.417,0,1
14,0,2,1342.63,153.454,0,1
14,0,3,1283.68,130.085,0,1
14,0,4,1224.83,121.208,0,1
14,0,5,1383.81,171.253,0,1
14,0,6,1436.83,197.525,0,1
14,0,7,1489.84,221.18,0,1
14,0,8,1357.29,277.126,0,1
14,0,9,1345.53,277.156,0,1
14,0,10,1283.9,341.909,0,1
14,0,11,1307.45,433.217,0,1
14,0,12,1375.01,274.292,0,1
14,0,13,1422.08,362.648,0,1
14,0,14,1466.2,453.718,0,1
14,0,15,0,0,0,1
14,0,16,1354.57,106.447,0,1
14,0,17,0,0,0,1
14,0,18,1375.08,126.904,0,1
14,0,19,1422.15,465.5,0,1
14,0,20,1439.68,471.455,0,1
14,0,21,1472.18,459.537,0,1
14,0,22,1271.94,453.772,0,1
14,0,23,1277.77,444.887,0,1
14,0,24,1324.9,439.013,0,1
14,3,0,0,0,3,0
14,3,1,0,0,3,0
14,3,2,0,0,3,0
14,3,3,0,0,3,0
14,3,4,0,0,3,0
14,3,5,0,0,3,0
14,3,6,0,0,3,0
14,3,7,0,0,3,0
14,3,8,7.78633,33.0016,3,0
14,3,9,7.82,32.9732,3,0
14,3,10,7.80231,103.589,3,0
14,3,11,7.79268,171.107,3,0
14,3,12,29.9087,32.909,3,0
14,3,13,29.8561,103.598,3,0
14,3,14,32.7954,171.253,3,0
14,3,15,0,0,3,0
14,3,16,0,0,3,0
14,3,17,0,0,3,0
14,3,18,0,0,3,0
14,3,19,35.9258,183.047,3,0
14,3,20,44.6199,177.246,3,0
14,3,21,29.8441,177.033,3,0
14,3,22,6.3484,180.03,3,0
14,3,23,7.79538,177.126,3,0
14,3,24,7.78541,174.104,3,0
14,2,0,0,0,2,0
14,2,1,0,0,2,0
14,2,2,0,0,2,0
14,2,3,0,0,2,0
14,2,4,0,0,2,0
14,2,5,489.067,7.80437,2,0
14,2,6,459.661,38.8433,2,0
14,2,7,453.765,44.6306,2,0
14,2,8,0,0,2,0
14,2,9,0,0,2,0
14,2,10,0,0,2,0
14,2,11,0,0,2,0
14,2,12,0,0,2,0
14,2,13,0,0,2,0
14,2,14,0,0,2,0
14,2,15,0,0,2,0
14,2,16,0,0,2,0
14,2,17,0,0,2,0
14,2,18,0,0,2,0
14,2,19,0,0,2,0
14,2,20,0,0,2,0
14,2,21,0,0,2,0
14,2,22,0,0,2,0
14,2,23,0,0,2,0
14,2,24,0,0,2,0
15,0,0,1354.27,106.569,0,1
15,0,1,1363.23,159.457,0,1
15,0,2,1342.67,153.537,0,1
15,0,3,1283.76,130.124,0,1
15,0,4,1224.85,121.185,0,1
15,0,5,1383.89,171.241,0,1
15,0,6,1439.71,197.523,0,1
15,0,7,1492.61,221.172,0,1
15,0,8,1357.36,277.136,0,1
15,0,9,1348.42,277.166,0,1
15,0,10,1286.68,341.928,0,1
15,0,11,1310.2,433.227,0,1
15,0,12,1375.05,274.3,0,1
15,0,13,1422.14,365.336,0,1
15,0,14,1466.22,453.757,0,1
15,0,15,0,0,0,1
15,0,16,1357.45,106.425,0,1
15,0,17,0,0,0,1
15,0,18,1377.91,126.902,0,1
15,0,19,1424.91,465.497,0,1
15,0,20,1439.75,471.473,0,1
15,0,21,1472.19,459.571,0,1
15,0,22,1272.03,453.799,0,1
15,0,23,1277.84,444.93,0,1
15,0,24,1324.95,439.013,0,1
15,3,0,0,0,3,0
15,3,1,0,0,3,0
15,3,2,0,0,3,0
15,3,3,0,0,3,0
15,3,4,0,0,3,0
15,3,5,0,0,3,0
15,3,6,0,0,3,0
15,3,7,0,0,3,0
15,3,8,7.78536,32.9578,3,0
15,3,9,7.82109,32.9274,3,0
15,3,10,7.80283,103.575,3,0
15,3,11,7.79477,168.308,3,0
15,3,12,29.9403,32.8604,3,0
15,3,13,29.9027,103.595,3,0
15,3,14,32.8167,171.232,3,0
15,3,15,0,0,3,0
15,3,16,0,0,3,0
15,3,17,0,0,3,0
15,3,18,0,0,3,0
15,3,19,35.9489,183.036,3,0
15,3,20,44.6876,177.23,3,0
15,3,21,29.8556,177.005,3,0
15,3,22,6.35267,180.014,3,0
15,3,23,7.79749,177.119,3,0
15,3,24,7.78625,174.084,3,0
15,2,0,0,0,2,0
15,2,1,0,0,2,0
15,2,2,0,0,2,0
15,2,3,0,0,2,0
15,2,4,0,0,2,0
15,2,5,486.171,7.80686,2,0
15,2,6,462.621,35.7472,2,0
15,2,7,456.714,47.5353,2,0
15,2,8,0,0,2,0
15,2,9,0,0,2,0
15,2,10,0,0,2,0
15,2,11,0,0,2,0
15,2,12,0,0,2,0
15,2,13,0,0,2,0
15,2,14,0,0,2,0
15,2,15,0,0,2,0
15,2,16,0,0,2,0
